frame,density,clustering,avg_degree,components,avg_speed,directional_entropy,avg_betweenness,dist_variation,avg_distance
1,0.0,0.0,0.0,3,0.0,0.0,0.0,72.54593450424653,221.02094316993433
2,0.0,0.0,0.0,3,2.4156324865523735,1.0986123012238687,0.0,71.38930131653501,217.1410126965668
3,0.0,0.0,0.0,3,0.0,0.0,0.0,65.35580869191875,201.9439470733254
4,0.0,0.0,0.0,3,3.427636931058617,1.488178990135546e-08,0.0,61.75532151477902,191.77036904854174
5,0.0,0.0,0.0,3,4.089312637929079,1.0986123012238687,0.0,59.246508283159436,186.379947908912
6,0.16666666666666666,0.0,0.5,3,4.13420912476747,1.0986123012238687,0.0,87.091799471528,151.03926756988358
7,0.0,0.0,0.0,3,3.3726034195614316,0.6931471941792092,0.0,53.64463491627889,169.65300210280043
8,0.0,0.0,0.0,3,3.989984317237975,0.6931471941792093,0.0,49.66242228398547,162.16537176092427
9,0.0,0.0,0.0,3,3.9246265741907607,1.4881789901355492e-08,0.0,46.24938679240037,154.0370674851123
10,0.0,0.0,0.0,3,5.460530302743995,1.488178990135546e-08,0.0,40.87239351682963,138.99096722970538
11,0.0,0.0,0.0,4,2.775646086102547,0.6931471941792093,0.0,90.80085203098656,201.74923106590893
12,0.0,0.0,0.0,4,3.1331326489296742,0.6931471941792092,0.0,91.05252030310956,198.1137616519817
13,0.0,0.0,0.0,4,0.0,0.0,0.0,91.60245122139204,190.93184364558877
14,0.0,0.0,0.0,4,3.3829180882899914,0.6931471941792092,0.0,92.64954320203776,186.78146189544682
15,0.0,0.0,0.0,4,4.225273685932472,1.0986123012238687,0.0,93.24232571862241,182.1541903291038
16,0.0,0.0,0.0,4,3.6115344614141427,1.0986123012238687,0.0,94.15979083373502,178.4842291258992
17,0.1,0.0,0.4,4,0.0,0.0,0.0,103.54001763298034,193.37302845165402
18,0.1,0.0,0.4,4,3.4694399336063793,1.0986123012238687,0.0,103.44669429615666,190.77336415160033
19,0.16666666666666666,0.0,0.5,3,3.097937441301411,1.0986123012238687,0.0,106.26521401080663,196.85266522348942
20,0.16666666666666666,0.0,0.5,3,0.8971978063584755,1.4881789901355476e-08,0.0,103.7977239309635,191.64548145876327
21,0.16666666666666666,0.0,0.5,3,3.0600617709323505,0.6931471941792093,0.0,103.36838665085145,189.27915694209364
22,0.2,0.0,0.8,3,3.8047028944165886,0.6931471941792093,0.0,108.41795847993482,174.61584359903233
23,0.3333333333333333,0.0,1.0,2,2.3245774303387017,1.4881789901355476e-08,0.0,115.7026413854463,191.7225100013865
24,0.3,0.0,1.2,2,3.3400196170249714,1.0986123012238687,0.03333333333333333,106.64944742685786,167.86514335264414
25,0.3333333333333333,0.0,1.0,2,2.6319434082989868,1.0986123012238687,0.0,111.8413746713518,184.13899629215044
26,0.3333333333333333,0.0,1.0,2,4.5629547800146,1.386294372698011,0.0,112.59054416818853,179.4921924211554
27,0.3333333333333333,0.0,1.0,2,2.415074716377232,0.6931471941792092,0.0,99.37239653714637,174.00204960860592
28,0.3333333333333333,0.0,1.0,2,3.340327738767696,0.6931471941792092,0.0,95.7779512225985,167.86576926472665
29,0.3333333333333333,0.0,1.0,2,4.012435684572643,0.6365141819537719,0.0,94.56835737176404,163.98541126809673
30,0.3333333333333333,0.0,0.6666666666666666,2,3.0510336570937238,0.6931471941792092,0.0,97.99615208544533,167.99992538769172
31,0.3333333333333333,0.0,0.6666666666666666,2,0.5144694494801574,1.4881789901355476e-08,0.0,94.52140648947079,162.03203287328608
32,0.3333333333333333,0.0,0.6666666666666666,2,2.430441438334952,1.0986123012238687,0.0,91.94427308562707,160.62431151464605
33,0.4,0.6,1.6,2,2.1114500562873264,0.6931471941792093,0.0,102.44616068594476,136.09179176881713
34,0.3333333333333333,0.0,1.0,2,3.265270873645882,1.0986123012238687,0.0,92.88102628147051,149.3826658746147
35,0.4,0.6,1.6,2,2.575890656519433,1.386294372698011,0.0,97.82593083154414,132.9548458939509
36,0.3333333333333333,0.0,1.0,2,2.3115507809086733,0.6931471941792093,0.0,86.67470358690397,142.42481167693208
37,0.4,0.6,1.6,2,1.0895499549404797,0.6365141819537719,0.0,89.59129650501447,124.51889783769528
38,0.4,0.6,1.6,2,1.8573089840918817,1.0397207834386097,0.0,87.11421857816288,121.07142057050073
39,0.26666666666666666,0.5,1.3333333333333333,3,1.4360016111897473,0.6931471941792092,0.0,96.30989644257173,156.23632334323227
40,0.2,0.0,1.0,3,1.719743618131606,1.03972078343861,0.016666666666666666,93.63315743752307,153.27058037363835
41,0.2,0.0,1.0,3,3.5194753790928877,1.386294372698011,0.016666666666666666,91.87604567944892,150.24795235198746
42,0.2,0.0,1.0,3,2.9445974913389934,1.609437923083953,0.016666666666666666,92.09388216149011,149.5276903190501
43,0.1,0.0,0.4,4,2.1475446621020478,0.6931471941792092,0.0,80.67503665218113,150.01166971896566
44,0.1,0.0,0.4,4,1.912061538208633,1.0986123012238687,0.0,78.39862189127832,147.7077959352018
45,0.1,0.0,0.4,4,3.1872026473126227,0.9502705518973443,0.0,77.01404120111316,146.04369176191466
46,0.1,0.0,0.4,4,3.3321482458625624,1.3321790518292058,0.0,76.44557500062288,144.18759655638308
47,0.1,0.0,0.4,4,1.9527922654446577,1.4881789901355476e-08,0.0,73.5603954218953,140.2003757405596
48,0.1,0.0,0.4,4,2.420715780564445,1.0986123012238687,0.0,72.47324170455724,137.95327947131767
49,0.1,0.0,0.4,4,3.1441989475404837,1.0397207834386102,0.0,69.95428955165053,135.49798547343693
50,0.1,0.0,0.4,4,2.7089266533559098,0.6931471941792093,0.0,69.17117801090875,132.77844323349024
